기본 정확도: 99.26%  (테스트 20549건)

 Threshold    v22처리    v22오류     v22정확도     LLM비율     LLM내오류      전체놓침
──────────────────────────────────────────────────────────────────────────────────────────
  80%        20339       81    99.602%     1.02%     33.81%        81
  85%        20239       72    99.644%     1.51%     25.81%        72
  87%        20028       61    99.695%     2.54%     17.47%        61
  90%        10832       35    99.677%    47.29%      1.20%        35
  91%         9709       26    99.732%    52.75%      1.16%        26
  92%         9395       20    99.787%    54.28%      1.18%        20
  93%         9187       17    99.815%    55.29%      1.19%        17
  94%         8226       11    99.866%    59.97%      1.14%        11
  95%         3381        2    99.941%    83.55%      0.87%         2
  96%          588        0   100.000%    97.14%      0.76%         0
  97%            0        0     0.000%   100.00%      0.74%         0
  98%            0        0     0.000%   100.00%      0.74%         0
  99%            0        0     0.000%   100.00%      0.74%         0
