[T=1.5 confidence 분포 분석]
테스트 샘플: 20,549건  |  오답: 152건  |  Acc=99.26%

threshold  | LLM건수  | LLM%   | 오답포착 | 포착%  | v22직접Acc
  90%      |   20,549 | 100.0% |      152 | 100.0% | 100.00%
  85%      |   19,707 |  95.9% |      152 | 100.0% | 100.00%
  80%      |   11,416 |  55.6% |      138 |  90.8% | 99.85%
  75%      |    2,093 |  10.2% |      115 |  75.7% | 99.80%
  70%      |      344 |   1.7% |       80 |  52.6% | 99.64%
  65%      |      196 |   1.0% |       70 |  46.1% | 99.60%
  60%      |      142 |   0.7% |       56 |  36.8% | 99.53%
  55%      |       88 |   0.4% |       38 |  25.0% | 99.44%
  50%      |       51 |   0.2% |       26 |  17.1% | 99.39%
  45%      |       21 |   0.1% |       11 |   7.2% | 99.31%
  40%      |        7 |   0.0% |        5 |   3.3% | 99.28%
